City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Erenhot,CN,43.6475,111.9767,76.55,42,74,5.84,broken clouds
171,Terrace,CA,54.5163,-128.6035,71.51,60,40,3.44,scattered clouds
172,Khatanga,RU,71.9667,102.5,51.98,47,88,6.08,overcast clouds
173,Knin,HR,44.0439,16.2,73.13,71,0,3.06,clear sky
174,Eenhana,NA,-17.4667,16.3333,50.67,56,50,7.81,scattered clouds
175,Kozan,TR,37.4552,35.8157,72.57,81,0,1.92,clear sky
176,Guerrero Negro,MX,27.9769,-114.0611,76.3,55,0,20.45,clear sky
177,Raudeberg,NO,61.9875,5.1352,63.27,69,41,6.91,scattered clouds
178,Cidreira,BR,-30.1811,-50.2056,54.54,82,0,5.5,clear sky
179,Jacareacanga,BR,-6.2222,-57.7528,76.12,71,65,3.18,broken clouds
180,Stornoway,GB,58.2093,-6.3865,54.93,92,100,8.05,overcast clouds
181,Salinopolis,BR,-0.6136,-47.3561,78.89,83,48,9.98,scattered clouds
182,Saint Anthony,US,45.0205,-93.218,86.95,43,75,16.11,broken clouds
183,Ponta Do Sol,PT,32.6667,-17.1,68.0,71,21,6.15,few clouds
184,Kruisfontein,ZA,-34.0033,24.7314,56.68,35,0,7.92,clear sky
185,Mbuji-Mayi,CD,-6.15,23.6,70.7,46,51,3.96,broken clouds
186,Marystown,CA,47.1666,-55.1483,59.86,100,100,6.96,overcast clouds
187,Ngunguru,NZ,-35.6167,174.5,61.99,70,76,11.23,broken clouds
188,Khao Yoi,TH,13.2403,99.8243,83.98,76,100,3.27,overcast clouds
189,Camacupa,AO,-12.0167,17.4833,52.74,48,8,1.88,clear sky
190,Saiha,IN,22.4833,92.9667,71.19,96,99,1.74,overcast clouds
191,Norman Wells,CA,65.282,-126.8329,73.44,46,20,14.97,few clouds
192,Haines Junction,CA,60.7522,-137.5108,75.15,38,43,6.91,scattered clouds
193,Kiunga,PG,-6.1219,141.2906,82.18,77,39,1.21,scattered clouds
194,Lander,US,42.833,-108.7307,86.4,17,20,18.41,few clouds
195,Fukue,JP,32.6881,128.8419,80.96,94,40,2.3,scattered clouds
196,Waipawa,NZ,-41.4122,175.5153,46.85,62,88,3.74,overcast clouds
197,Edd,ER,13.9297,41.6925,90.97,59,100,6.4,overcast clouds
198,Novyy Urgal,RU,51.0736,132.5642,77.59,58,6,0.58,clear sky
199,Broager,DK,54.8874,9.681,65.89,91,2,9.22,light rain
200,Acarau,BR,-2.8856,-40.12,78.49,83,2,13.4,clear sky
201,Mutoko,ZW,-17.397,32.2268,49.23,94,23,2.48,few clouds
202,Bethel,US,41.3712,-73.414,82.49,54,0,5.75,clear sky
203,Pyapon,MM,16.2833,95.6833,78.33,88,100,3.76,overcast clouds
204,Sohag,EG,26.557,31.6948,84.49,32,0,6.35,clear sky
205,Yulara,AU,-25.2406,130.9889,49.96,63,0,18.25,clear sky
206,Port Moresby,PG,-9.4431,147.1797,81.82,78,20,3.44,haze
207,Kintampo,GH,8.0563,-1.7306,69.57,95,92,2.57,overcast clouds
208,San-Pedro,CI,4.7485,-6.6363,76.42,81,93,8.79,overcast clouds
209,Saldanha,ZA,-33.0117,17.9442,57.25,46,0,22.55,clear sky
210,Wilmington,US,34.2257,-77.9447,82.31,75,0,5.75,clear sky
211,Oistins,BB,13.0667,-59.5333,82.49,74,40,16.11,scattered clouds
212,Iqaluit,CA,63.7506,-68.5145,44.33,87,100,2.3,overcast clouds
213,Ojinaga,MX,29.5667,-104.4167,96.42,33,0,19.57,clear sky
214,Andenes,NO,69.3143,16.1194,56.93,93,40,4.61,scattered clouds
215,Srikakulam,IN,18.3,83.9,82.89,82,97,8.08,light rain
216,Katangli,RU,51.7102,143.2326,64.4,69,9,8.08,clear sky
217,Omboue,GA,-1.5746,9.2618,70.3,93,29,6.22,scattered clouds
218,Chachapoyas,PE,-6.2317,-77.869,52.23,85,43,1.88,scattered clouds
219,Saskylakh,RU,71.9167,114.0833,49.82,54,61,10.04,broken clouds
220,Hamilton,US,39.1834,-84.5333,92.89,38,0,8.05,clear sky
221,Pathein,MM,16.7833,94.7333,79.41,86,100,6.42,light rain
222,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,17.27,light intensity drizzle
223,Senanga,ZM,-16.1167,23.2667,57.7,54,82,5.44,broken clouds
224,Naica,MX,27.85,-105.4833,89.67,23,67,8.39,broken clouds
225,Isabela,PH,6.7085,121.9711,80.65,85,100,5.95,light rain
226,Methoni,GR,36.8197,21.7049,80.22,67,0,5.01,clear sky
227,Lorengau,PG,-2.0226,147.2712,82.98,74,84,15.43,light rain
228,Bonavista,CA,48.6499,-53.1147,54.07,99,100,7.96,overcast clouds
229,Padang,ID,-0.9492,100.3543,68.05,79,98,3.0,overcast clouds
230,Torbay,CA,47.6666,-52.7314,59.29,95,100,5.75,light intensity drizzle
231,Castro,BR,-24.7911,-50.0119,49.03,65,0,2.1,clear sky
232,Kavieng,PG,-2.5744,150.7967,84.0,73,86,18.32,light rain
233,Dingle,PH,10.9995,122.6711,80.35,83,100,8.25,overcast clouds
234,Adrar,MR,20.5022,-10.0711,89.58,13,4,11.43,clear sky
235,Mujiayingzi,CN,42.1167,118.7833,72.72,64,100,1.54,overcast clouds
236,Penne,IT,42.4538,13.9299,75.67,57,0,5.17,clear sky
237,Pevek,RU,69.7008,170.3133,34.12,98,100,3.2,light snow
238,High Level,CA,58.5169,-117.136,62.71,67,75,10.36,broken clouds
239,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,6.91,overcast clouds
240,Bure,ET,10.7,37.0667,55.62,97,99,0.76,light rain
241,Amherstburg,CA,42.1168,-83.0499,93.54,45,40,13.8,scattered clouds
242,Gumdag,TM,39.2061,54.5906,77.27,62,0,7.4,clear sky
243,Paramonga,PE,-10.6667,-77.8333,62.2,83,35,8.57,scattered clouds
244,Tura,IN,25.5198,90.2201,73.35,94,33,5.01,scattered clouds
245,Klaksvik,FO,62.2266,-6.589,52.72,98,87,10.49,overcast clouds
246,Serafimovich,RU,49.5786,42.736,58.24,66,8,6.46,clear sky
247,Satrikh,IN,26.8667,81.2,80.67,79,94,4.65,overcast clouds
248,Carnarvon,AU,-24.8667,113.6333,59.22,48,0,18.68,clear sky
249,Kaitangata,NZ,-46.2817,169.8464,42.21,87,87,15.28,overcast clouds
250,Granada,ES,37.25,-3.25,70.3,33,4,3.53,clear sky
